ID,Diametre_mm,Masse_g,Rugosite_um,Temperature_C,Vibration_mm_s,Couleur_indice,Ultrason_dB,Durete_HV,Defectueuse,TypeDefaut
P0339,50.102,118.93,1.937,28.411,1.967,0.6441,61.971,193.456,1,1
P0340,50.108,119.127,2.237,36.551,3.362,0.5454,73.958,188.274,1,4
P0341,50.206,119.856,1.512,36.517,2.019,0.5254,78.484,210.904,0,0
P0342,50.215,120.596,1.696,33.364,1.575,0.5218,76.617,212.077,0,0
P0343,49.698,116.375,0.946,31.678,2.515,0.6714,67.029,156.771,1,1
P0344,49.209,120.011,2.285,44.417,2.274,0.7945,74.214,179.759,1,1
P0345,50.264,123.963,1.719,41.025,4.033,0.619,68.278,200.905,1,4
P0346,50.644,119.752,3.124,38.184,3.479,0.3467,66.052,171.299,1,2
P0347,50.968,131.805,2.062,32.823,3.521,0.6289,50.492,195.655,1,1
P0348,49.972,122.702,1.704,41.503,2.538,0.6488,47.361,171.946,1,3
P0349,49.85,122.862,2.217,26.908,2.006,0.7232,57.913,186.924,1,2
P0350,50.198,122.303,1.193,34.068,1.765,0.5324,76.287,204.172,0,0
P0351,50.793,119.281,2.73,41.766,3.432,0.6827,76.251,200.152,1,2
P0352,49.752,122.869,2.02,33.697,2.653,0.5186,64.374,186.181,1,2
P0353,49.762,119.727,2.808,38.62,4.315,0.7574,68.468,187.581,1,2
P0354,49.419,116.073,2.165,39.447,2.714,0.5013,72.624,171.717,1,1
P0355,50.048,116.762,2.067,40.033,2.962,0.6238,59.896,151.761,1,3
P0356,50.205,123.601,1.909,40.719,3.799,0.5343,61.387,180.546,1,2
P0357,49.394,121.766,2.113,46.578,1.438,0.7042,57.717,184.254,1,3
P0358,49.815,120.337,1.185,35.106,1.919,0.5304,69.367,198.344,0,0
P0359,49.917,119.147,1.282,31.57,1.615,0.5505,77.164,206.459,0,0
P0360,49.474,126.912,2.871,32.283,2.645,0.6605,79.106,169.704,1,1
P0361,50.264,120.648,1.559,35.138,1.465,0.5239,76.412,212.483,0,0
P0362,49.824,NaN,2.693,39.741,1.738,0.6672,56.301,164.602,1,3
P0363,49.883,120.524,1.009,31.463,1.889,0.5081,82.552,212.118,0,0
P0364,49.992,119.571,1.131,30.954,1.95,0.4985,71.884,204.846,0,0
P0365,50.275,116.524,1.029,36.036,1.26,0.59,79.11,203.944,0,0
P0366,49.978,122.139,1.711,32.627,1.693,0.5449,74.609,197.261,0,0
P0367,50.057,115.419,3.012,34.009,1.987,0.4796,59.032,180.642,1,2
P0368,50.268,121.883,1.778,51.491,4.886,0.7542,69.962,177.442,1,4
P0369,50.38,122,2.204,40.173,2.6,0.633,63.54,144.575,1,3
P0370,50.81,125.613,1.87,45.925,3.006,0.6116,61.228,186.116,1,1
P0371,49.812,120.913,1.113,35.222,3.711,0.6629,81.896,229,1,4
P0372,49.995,123.458,1.579,32.518,1.89,0.5098,74.456,207.89,0,0
P0373,50.232,124.777,0.941,35.558,1.446,0.5131,78.714,199.425,0,0
P0374,50.606,119.852,1.74,42.449,3.481,0.525,72.203,195.344,1,4
P0375,50.679,122.64,2.062,52.725,4.5,0.6061,57.123,195.164,1,4
P0376,49.715,120.612,1.572,31.849,NaN,0.4853,70.347,206.707,0,0
P0377,49.71,117.576,1.334,37.607,2.655,0.614,63.153,196.897,1,3
P0378,49.711,119.966,1.376,33.506,1.073,0.486,75.728,193.252,0,0
P0379,49.487,117.627,1.761,42.733,2.591,0.6697,66.167,168.555,1,1
P0380,NaN,120.313,NaN,32.985,1.411,0.5546,74.115,201.263,0,0
P0381,50.082,115.389,2.38,35.606,3.963,0.8418,51.28,190.733,1,2
P0382,50.19,120.138,1.052,33.794,2.004,0.5258,73.498,192.665,0,0
P0383,50.21,119.686,1.153,32.285,1.302,0.4214,68.449,199.29,0,0
P0384,49.917,120.381,0.913,37.562,1.678,0.475,79.186,202.299,0,0
P0385,50.236,120.916,1.11,29.941,2.019,0.439,75.372,206.727,0,0
P0386,50.07,118.711,1.229,35.027,1.989,0.5798,80.523,208.194,0,0
P0387,49.784,123.216,2.382,44.101,3.529,0.5676,56.404,178.663,1,4
P0388,49.867,117.968,2.355,44.168,2.891,0.648,52.668,169.247,1,3
P0389,50.022,122.65,2.139,44.342,2.258,0.6268,60.101,169.088,1,3
P0390,49.527,122.683,2.071,41.666,2.858,0.6044,79.286,179.163,1,2
P0391,48.842,123.631,2.361,33.921,2.556,0.5502,58.165,193.147,1,1
P0392,50.21,118.871,2.553,46.551,3.597,0.6145,74.582,179.278,1,4
P0393,51.025,120.014,2.122,31.88,1.558,0.4781,64.993,182.378,1,1
P0394,50.326,119.249,1.441,40.452,2.922,0.5392,40.165,170.405,1,3
P0395,49.646,123.079,1.391,33.769,1.625,0.5742,70.89,210.898,0,0
P0396,50.368,118.665,2.258,51.003,4.479,0.5383,70.8,196.785,1,4
P0397,50.173,145.134,2.081,52.349,3.089,0.6588,61.019,215.317,1,4
P0398,50.126,119.319,1.448,33.822,1.77,0.5554,75.701,197.442,0,0
P0399,50.079,118.739,1.429,34.331,NaN,0.549,71.875,195.676,0,0
P0400,50.398,127.119,1.805,42.436,4.08,0.5709,56.443,NaN,1,4
P0401,50.507,128.873,2.27,35.317,2.43,0.6636,66.913,199.317,1,1
P0402,49.853,120.978,1.23,35.101,2.066,0.5059,82.806,207.494,0,0
P0403,49.95,119.771,1.256,30.119,1.237,0.5651,83.187,214.366,0,0
P0404,49.969,120.552,1.487,31.799,2.154,0.4936,74.935,200.932,0,0
P0405,49.789,117.685,1.251,35.596,1.424,0.5979,76.945,208.769,0,0
P0406,49.876,123.673,1.571,33.671,2.725,0.588,36.538,168.978,1,3
P0407,49.902,118.666,1.371,32.724,1.159,0.5552,75.315,206.819,0,0
P0408,49.956,127.572,1.51,37.668,2.86,0.5897,48.615,181.421,1,3
P0409,50.447,128.836,1.886,26.529,1.501,0.5441,80.991,205.493,1,1
P0410,50.772,113.909,1.783,37.31,2.698,0.6862,38.297,177.484,1,1
P0411,49.797,121.226,1.707,51.18,5.192,0.6914,60.45,188.731,1,4
P0412,49.734,117.376,1.267,34.665,1.877,0.547,79.026,195.386,0,0
P0413,50.556,121.878,NaN,39.813,2.83,0.5752,48.378,168.324,1,3
P0414,49.669,121.577,2.496,40.147,3.686,0.4293,64.549,216.744,1,2
P0415,50.008,120.851,1.511,33.89,1.516,0.5434,70.267,209.479,0,0
P0416,50.214,115.812,0.996,34.066,1.966,0.5097,76.525,199.162,0,0
P0417,NaN,120.237,1.489,33.963,1.657,0.5061,78.173,209.582,0,0
P0418,50.041,117.234,2.511,51.984,4.331,0.6828,79.081,192.329,1,4
P0419,50.15,118.015,1.492,39.218,2.541,0.5452,51.913,166.75,1,2
P0420,49.822,120.252,0.945,38.249,1.57,0.4843,68.497,205.649,0,0
P0421,50.154,120.239,1.433,32.36,1.775,0.5325,77.579,208.219,0,0
P0422,50.083,117.862,2.698,50.095,3.544,0.4821,73.503,186.299,1,4
P0423,50.197,118.941,1.143,34.489,1.37,0.5145,82.113,207.298,0,0
P0424,50.216,122.904,2.69,39.884,3.223,0.3992,58.065,206.505,1,2
P0425,49.947,118.902,1.289,43.301,4.231,0.6047,66.937,195.634,1,4
P0426,49.772,112.729,3.052,43.707,1.886,0.563,57.492,191.02,1,2
P0427,49.79,120.62,1.031,37.699,1.22,0.5467,73.94,211.628,0,0
P0428,50.082,122.838,1.262,41.92,2.062,0.6511,54.639,155.178,1,3
P0429,50.093,122.642,2.381,46.181,1.781,0.721,70.366,167.84,1,2
P0430,50.018,118.405,1.24,33.436,2.093,0.4921,75.992,188.202,0,0
P0431,49.521,118.669,1.167,45.996,5.088,0.6356,63.322,182.336,1,4
P0432,49.967,118.905,1.44,50.885,3.966,0.6804,51.802,150.35,1,3
P0433,50.168,111.099,1.872,39.938,3.059,0.7659,66.592,211.535,1,1
P0434,49.493,122.04,1.766,48.073,3.041,0.5586,68.454,208.436,1,2
P0435,50.112,119.1,1.57,30.629,1.576,0.5059,76.764,218.77,0,0
P0436,50.055,120.595,1.311,34.399,1.361,0.4888,78.905,201.658,0,0
P0437,49.925,120.171,1.107,34.761,1.144,0.5295,73.039,196.624,0,0
P0438,49.787,117.057,2.021,41.126,2.794,0.774,56.068,196.52,1,2
P0439,49.661,120.079,1.508,31.419,2.064,0.4872,74.144,206.078,0,0
P0440,49.693,120.749,2.146,51.931,3.601,0.5349,62.637,195.492,1,4
P0441,49.159,117.612,2.504,33.202,2.059,0.6992,58.071,212.763,1,2
P0442,49.759,117.72,1.763,47.188,3.342,0.5385,69.637,201.306,1,4
P0443,50.719,115.328,1.538,32.183,3.449,0.6153,63.316,197.861,1,1
P0444,50.103,117.47,1.165,44.243,3.232,0.5887,47.988,191.716,1,3
P0445,49.859,121.606,1.077,34.148,1.441,0.5902,71.329,212.717,0,0
P0446,50.01,120.155,1.72,36.275,1.635,NaN,75.343,204.796,0,0
P0447,NaN,NaN,1.427,39.043,1.367,0.4931,73.986,201.001,0,0
P0448,50.044,122.521,1.013,28.424,1.591,0.5759,74.448,199.941,0,0
P0449,49.52,119.105,2.305,26.1,1.851,0.5025,68.401,179.104,1,1
P0450,50.199,120.59,0.839,NaN,1.074,0.5503,75.18,210.244,0,0
P0451,50.869,118.805,2.037,47.032,2.828,0.5769,58.302,193.734,1,3
P0452,50.258,118.563,2.917,37.1,1.127,0.493,70.995,206.329,1,2
P0453,50.315,122.795,1.264,34.126,1.333,0.5151,77.349,223.562,0,0
P0454,50.409,129.545,2.699,41.751,2.857,0.5029,66.09,180.516,1,2
P0455,50.304,118.658,2.126,44.758,1.864,0.5884,51.543,186.486,1,2
P0456,49.663,122.879,2.615,39.643,2.989,0.6138,70.942,203.628,1,4
P0457,50.592,117.587,2.237,41.74,2.632,0.5966,64.611,186.917,1,3
P0458,50.079,119.586,1.001,32.213,1.744,0.4966,77.272,200.156,0,0
P0459,50.097,121.411,0.997,33.824,1.2,0.5036,77.863,199.582,0,0
P0460,49.966,117.088,1.185,30.648,1.584,0.5008,73.154,212.513,0,0
P0461,49.667,118.437,1.851,35.353,1.504,0.4658,65.808,191.683,0,0
P0462,50.129,119.364,1.306,35.817,1.675,0.5466,77.698,193.822,0,0
P0463,50.281,118.187,1.937,34.517,5.061,0.4716,48.833,203.898,1,4
P0464,50.234,120.707,1.664,36.635,1.518,0.5071,78.584,210.64,0,0
P0465,50.001,116.342,1.399,42.651,NaN,0.7547,70.62,174.937,1,4
P0466,50.14,119.894,2.072,41.653,2.24,0.7126,53.654,153.747,1,3
P0467,50.226,124.917,1.499,37.847,4.536,0.5927,56.182,194.459,1,4
P0468,50.541,119.936,1.786,41.929,2.9,0.5665,45.812,175.543,1,3
P0469,50.49,120.341,0.965,33.637,1.783,0.4943,75.282,197.245,0,0
P0470,50.169,119.789,1.655,31.93,1.427,0.5033,70.891,207.557,0,0
P0471,50.167,124.363,1.926,42.535,3.889,0.6621,69.144,168.621,1,4
P0472,50.079,121.662,1.271,38.335,2.305,0.5765,76.743,210.866,0,0
P0473,49.959,119.51,0.996,33.65,1.634,0.434,79.898,208.453,0,0
P0474,50.103,120.606,1.432,35.759,2.086,0.5279,75.775,206.784,0,0
P0475,49.962,118.01,1.22,36.177,1.893,0.5559,82.982,203.004,0,0
P0476,50.171,121.377,1.207,39.492,3.333,0.6482,47.993,138.309,1,3
P0477,49.834,123.549,1.118,36.023,1.492,0.519,76.773,219.284,0,0
P0478,49.986,122.251,2.418,45.354,5.794,0.6972,57.376,169.135,1,4
P0479,50.748,118.759,1.964,41.67,4.704,0.72,56.817,166.128,1,4
P0480,50.127,120.921,0.959,32.605,1.539,0.5705,73.862,205.874,0,0
P0481,49.526,110.824,1.77,43.241,3.717,0.5434,46.711,184.537,1,1
P0482,49.333,124.85,1.793,49.49,4.098,0.597,57.293,199.084,1,4
P0483,50.31,117.837,1.932,51.642,4.143,0.5978,55.154,NaN,1,4
P0484,49.749,119.675,3.591,52.666,2.918,0.7072,66.957,155.645,1,2
P0485,50.068,122.117,0.872,38.671,1.416,0.4888,78.403,208.791,0,0
P0486,50.046,121.773,2.554,46.126,2.192,0.4789,59.062,198.468,1,2
P0487,49.812,113.354,1.401,55.377,3.785,0.6055,67.224,214.48,1,4
P0488,50.445,119.448,1.643,43.684,2.839,0.4976,69.514,201.254,1,4
P0489,50.404,117.031,2.425,35.697,3.618,0.745,66.489,172.269,1,1
P0490,49.47,111.609,1.502,38.116,2.97,0.5811,40.774,196.846,1,1
P0491,50.191,122.303,1.259,30.971,2.135,0.4855,74.846,201.469,0,0
P0492,49.779,120.99,1.241,33.985,1.25,0.5887,70.174,207.005,0,0
P0493,50.74,130.089,2.179,47.623,3.576,0.5936,NaN,225.341,1,1
P0494,50.163,117.327,0.979,36.36,1.387,0.51,72.656,213.973,0,0
P0495,49.921,119.927,1.217,32.304,1.442,0.5499,76.108,196.018,0,0
P0496,50.341,118.06,1.182,55.453,5.799,0.6671,59.326,211.884,1,4
P0497,49.932,121.401,1.227,36.384,1.368,0.5299,79.972,207.14,0,0
P0498,49.883,116.38,2.485,49.443,3.853,0.6432,66.412,189.393,1,4
P0499,50.074,119.422,1.616,31.43,1.767,0.5746,73.628,206.12,0,0
P0500,50.045,120.042,0.998,30.812,0.974,0.4844,76.601,205.536,0,0
P0501,49.411,119.025,1.648,39.364,2.526,0.5894,61.696,199.433,1,1
P0502,49.186,118.994,1.827,45.809,2.265,0.613,64.943,186.248,1,1
P0503,49.983,120.44,1.535,37.62,1.17,0.5491,NaN,197.512,0,0
P0504,50.273,118.522,2.114,39.999,1.033,0.5133,78.672,170.158,1,2
P0505,49.911,118.757,1.612,35.224,1.386,0.512,79.31,204.55,0,0
P0506,49.525,120.094,1.023,36.771,1.763,0.4648,78.95,204.082,0,0
P0507,50.328,120.328,1.309,37.518,1.888,0.5539,76.535,196.69,0,0
P0508,49.965,118.871,1.447,31.385,1.911,0.568,82.417,192.435,0,0
P0509,49.813,112.606,1.724,35.045,3.191,0.585,58.985,181.861,1,3
P0510,49.768,122.005,1.315,36.028,1.29,NaN,75.21,204.968,0,0
P0511,49.88,123.438,1.497,33.434,3.509,0.5338,61.897,205.603,1,3
P0512,49.79,121.951,1.803,42.645,2.746,0.7563,68.438,193.947,1,1
P0513,49.92,121.1,1.651,39.664,1.699,0.4757,78.389,202.517,0,0
P0514,50.333,124.765,1.068,34.521,1.769,0.5054,78.411,211.35,0,0
P0515,50.056,121.287,1.457,34.897,0.914,0.5139,72.477,213.694,0,0
P0516,49.971,120.377,0.992,34.534,1.991,0.5254,76.821,200.573,0,0
P0517,49.953,110.874,2.147,34.953,3.006,0.8448,55.193,206.051,1,2
P0518,49.41,121.556,1.792,43.04,3.048,0.3959,54.004,220.973,1,4
P0519,50.06,120.561,1.16,36.56,2.081,0.4762,76.018,200.52,0,0
P0520,50.371,117.075,3.333,43.44,2.227,0.7252,55.557,182.293,1,2
P0521,50.047,123.832,1.802,32.999,2.671,0.5148,62.795,177.679,1,4
P0522,49.988,118.929,1.024,32.399,1.553,0.5513,79.264,196.345,0,0
P0523,49.883,124.783,2.181,39.467,3.12,0.5782,55.088,158.786,1,3
P0524,50.297,118.479,1.928,40.047,2.584,0.6169,76.179,207.417,1,1
P0525,49.59,119.351,1.646,47.431,4.138,0.6064,63.396,195.557,1,4
P0526,49.716,127.18,2.286,43.941,2.864,0.5429,52.74,186.651,1,3
P0527,49.945,121.69,1.369,34.771,1.374,0.4593,81.041,205.082,0,0
P0528,49.865,119.388,3.022,33.415,3.597,0.4289,57.204,206.087,1,2
P0529,49.88,119.805,1.583,32.021,1.627,0.4754,75.463,195.453,0,0
P0530,50.098,116.51,1.34,33.322,1.862,0.6009,68.833,205.022,0,0
P0531,49.724,120.587,1.489,39.242,1.478,0.5038,70.365,200.632,0,0
P0532,50.16,118.761,2.622,28.378,4.074,0.5816,69.408,199.675,1,2
P0533,50.003,121.27,1.841,35.121,1.86,0.5472,76.161,216.918,0,0
P0534,50.756,114.73,1.999,44.778,2.627,0.6263,56.46,195.265,1,1
P0535,51.079,118.285,1.371,36.336,2.933,0.572,62.189,153.879,1,3
P0536,50.527,123.171,2.077,38.605,2.033,0.701,82.116,186.093,1,1
P0537,50.997,110.508,1.36,30.388,3.323,0.5073,63.936,169.569,1,1
P0538,50.631,117.281,2.134,45.957,2.967,0.6211,60.914,194.308,1,1
P0539,49.823,128.362,3.193,33.506,3.682,0.5183,57.624,185.272,1,2
P0540,50.486,129.347,2.037,31.422,2.03,0.6076,70.217,188.641,1,1
P0541,50.179,120.55,2.627,35.995,4.067,0.6949,73.632,203.079,1,2
P0542,50.135,117.475,2.304,56.91,4.07,0.6044,57.067,201.371,1,4
P0543,50.154,118.839,1.281,30.973,2.024,0.4697,77.734,205.091,0,0
P0544,50.207,118.441,1.438,31.812,1.756,0.4781,72.428,205.27,0,0
P0545,50.092,118.5,1.008,30.662,1.584,0.5559,80.973,202.218,0,0
P0546,50.034,121.113,1.732,34.643,1.612,0.5212,79.797,205.531,0,0
P0547,49.322,125.263,1.63,41.629,2.418,0.5293,73.16,186.977,1,1
P0548,49.707,128.69,1.68,NaN,2.25,0.709,65.982,225.106,1,1
P0549,50.418,119.457,2.141,41.273,2.188,0.4823,69.162,171.553,1,1
P0550,49.822,116.737,1.274,36.456,1.83,0.5205,77.876,200.525,0,0
P0551,49.779,121.793,1.088,33.304,1.435,0.5374,77.489,205.949,0,0
P0552,49.847,120.746,1.411,41.399,2.03,0.5781,46.938,171.738,1,3
P0553,49.271,120.795,1.711,38.07,3.014,0.5837,51.668,159.645,1,3
P0554,49.945,114.916,2.324,27.141,2.26,0.6839,55.708,183.948,1,2
P0555,49.778,122.275,1.163,34.168,1.466,0.5587,72.376,197.466,0,0
P0556,50.167,122.474,2.241,46.68,4.678,0.7279,73.888,159.759,1,4
P0557,49.966,120.625,2.16,35.054,1.49,0.7416,64.761,195.271,1,2
P0558,50.304,119.266,1.19,31.92,1.808,0.5354,80.702,208.327,0,0
P0559,49.963,121.611,1.069,33.468,1.754,0.5284,72.722,204.93,0,0
P0560,49.895,117.546,0.866,34.301,0.856,0.5212,79.476,195.866,0,0
P0561,NaN,123.326,1.689,NaN,2.427,0.5587,53.789,188.529,1,3
P0562,49.94,117.427,1.284,36.304,1.678,0.5691,77.089,200.343,0,0
P0563,49.887,118.116,1.693,52.739,3.874,0.6644,62.189,181.767,1,4
P0564,49.952,118.519,1.683,40.613,NaN,0.642,60.317,192.386,1,4
P0565,50.286,120.178,1.028,34.016,1.859,0.4554,78.272,200.594,0,0
P0566,50.106,120.005,1.225,30.599,1.974,NaN,76.901,192.171,0,0
P0567,50.253,119.102,1.423,34.435,1.577,0.5497,79.053,216.332,0,0
P0568,49.894,126.092,1.988,43.58,1.681,0.6321,61.914,201.418,1,3
P0569,49.799,110.273,2.229,40.756,2.597,0.6696,61.705,NaN,1,1
P0570,50.145,121.519,1.142,32.571,1.5,0.5339,82.853,209.967,0,0
P0571,50.049,117.944,0.943,27.886,1.632,0.5574,76.303,196.735,0,0
P0572,50.002,116.899,2.281,38.028,1.941,0.6903,61.054,175.918,1,2
P0573,50.2,113.494,2.091,28.037,2.769,0.5799,63.837,170.354,1,1
P0574,50.012,120.062,1.114,36.239,1.133,0.5284,75.094,207.809,0,0
P0575,49.928,117.304,1.292,33.828,2.163,0.5397,80.393,203.358,0,0
P0576,50.554,125.51,1.578,39.208,2.73,0.5786,67.328,188.895,1,1
P0577,50.064,122.967,1.339,35.261,2.059,0.5017,74.622,205.95,0,0
P0578,49.828,119.49,1.034,37.182,3.975,0.7582,55.329,153.866,1,3
P0579,49.963,118.331,1.1,36.563,1.524,0.5311,78.594,205.277,0,0
P0580,49.952,118.404,0.862,32.432,1.358,0.5143,76.905,203.167,0,0
P0581,49.513,120.773,1.692,35.85,2.244,0.5686,69.225,182.08,1,1
P0582,50.091,118.991,1.255,30.995,1.667,0.617,56.018,169.908,1,3
P0583,50.583,125.607,1.45,37.295,2.592,0.502,57.017,190.677,1,1
P0584,49.76,116.642,2.732,45.507,2.579,0.6726,54.781,198.491,1,2
P0585,50.129,115.569,1.306,34.855,1.52,0.485,75.795,216.908,0,0
P0586,49.931,121.393,1.555,26.062,0.985,0.5381,78.967,201.019,0,0
P0587,50.028,121.184,1.858,36.166,1.961,0.5705,80.004,220.872,0,0
P0588,50.938,124.941,2.107,39.829,2.8,0.535,62.564,168.873,1,1
P0589,50.124,122.499,3.061,34.759,3.115,0.6063,65.662,171.795,1,2
P0590,49.925,119.527,1.043,29.945,2.027,0.5172,70.199,202.268,0,0
P0591,50.295,126.754,1.939,47.396,3.434,0.2979,59.868,209.68,1,2
P0592,49.87,121.239,1.453,33.979,1.306,0.5274,74.53,207.909,0,0
P0593,49.805,112.688,1.933,46.595,2.561,0.7031,66.354,220.04,1,1
P0594,49.609,119.853,1.468,38.379,2.429,0.5202,73.426,216.972,0,0
P0595,49.658,122.962,1.303,30.447,1.888,0.4407,74.044,198.313,0,0
P0596,50.074,120.973,1.143,34.552,2.153,0.5467,70.3,206.635,0,0
P0597,50.608,117.665,2.772,45.361,2.032,0.3672,61.514,204.513,1,2
P0598,50.004,119.168,1.161,31.829,1.846,0.6035,74.336,198.4,0,0
P0599,50.187,118.768,1.28,37.016,2.096,0.6514,50.842,182.814,1,3
P0600,50.266,120.384,1.346,38.874,2.023,0.6566,69.262,197.772,1,1
P0601,49.692,119.528,2.651,45.679,2.372,0.5677,79.601,171.817,1,2
P0602,50.063,119.183,1.403,34.373,2.118,0.5534,80.229,200.216,0,0
P0603,49.93,122.595,1.521,37.845,1.883,0.4776,75.31,195.429,0,0
P0604,49.86,120.275,2.435,40.449,2.909,0.4971,37.584,175.611,1,3
P0605,49.915,120.915,1.331,31.141,2.127,0.5008,75.558,212.575,0,0
P0606,50.637,NaN,1.612,34.327,0.764,0.4004,56.875,187.553,1,1
P0607,49.86,118.265,1.279,31.18,1.758,0.4935,72.275,202.311,0,0
P0608,49.225,121.944,2.477,43.618,2.802,0.6445,52.786,191.319,1,4
P0609,50.198,120.028,1.322,35.651,1.122,0.5015,77.538,224.408,0,0
P0610,49.907,114.816,2.436,46.781,3.673,0.5544,74.379,160.115,1,4
P0611,49.76,118.453,1.199,40.457,1.647,0.4549,73.399,188.552,0,0
P0612,50.06,124.149,1.591,34.278,1.618,0.5302,81.595,204.088,0,0
P0613,49.789,120.922,1.821,34.759,2.801,0.643,76.924,191.253,1,2
P0614,50.01,117.452,2.079,38.772,3.851,0.643,61.942,207.722,1,4
P0615,50.386,126.204,1.895,35.753,4.642,0.6498,51.573,185.252,1,4
P0616,49.92,119.82,1.265,31.719,1.511,0.491,73.721,207.894,0,0
P0617,49.854,123.33,2.225,38.007,2.891,0.569,68.017,180.271,1,2
P0618,49.605,120.339,1.539,41.081,3.102,0.6799,82.327,175.421,1,4
P0619,50.355,125.397,2.361,35.622,1.22,0.513,50.293,144.454,1,3
P0620,49.416,127.106,1.97,39.993,2.359,0.4469,76.076,173.716,1,1
P0621,49.933,119.932,1.232,29.992,1.874,0.5391,75.536,197.521,0,0
P0622,49.945,117.812,2.028,44.909,3.539,0.7042,68.205,190.473,1,2
P0623,50.548,130.212,1.968,50.451,0.614,0.5522,89.012,181.345,1,1
P0624,49.524,117.139,2.365,36.041,2.889,0.644,52.016,173.511,1,3
P0625,50.619,124.347,1.832,45.671,0.48,0.7035,49.361,202.086,1,1
P0626,49.966,115.929,1.858,37.714,4.463,0.5294,62.074,187.35,1,4
P0627,50.179,119.751,1.337,32.845,2.256,0.5329,80.955,206.934,0,0
P0628,49.665,120.671,1.236,37.084,2.544,NaN,73.799,190.946,0,0
P0629,49.463,112.431,1.626,34.235,4.164,0.6336,63.997,221.699,1,4
P0630,50.183,119.885,3.567,42.503,3.045,0.794,76.343,199.237,1,2
P0631,50.047,120.338,1.321,35.173,1.523,0.5086,74.301,196.997,0,0
P0632,49.954,121.022,1.338,30.51,1.748,0.5489,77.363,209.7,0,0
P0633,49.743,119.9,1.28,39.804,1.302,0.5368,78.274,205.936,0,0
P0634,49.377,120.254,2.389,38.538,4.181,0.7373,50.166,169.211,1,3
P0635,49.978,121.575,1.411,25.063,2.149,0.5738,54.131,165.598,1,3
P0636,50.046,123.211,3.515,36.001,3.359,0.7315,64.706,183.489,1,2
P0637,49.892,119.258,1.302,37.659,1.284,0.4932,74.917,201.932,0,0
P0638,49.429,109.314,1.844,40.019,3.517,NaN,68.202,207.154,1,1
P0639,50.084,122.346,3.475,36.703,2.968,0.6296,47.783,210.622,1,2
P0640,49.832,119.259,1.806,42.939,3.134,0.6041,53.492,175.435,1,4
P0641,49.511,121.165,2.174,43.392,2.881,0.5847,52.951,151.408,1,3
P0642,49.682,125.416,2.198,41.786,2.867,0.6189,49.148,182.556,1,2
P0643,49.971,119.114,1.252,31.495,1.767,0.485,79.285,200.687,0,0
P0644,50.146,121.121,1.151,33.905,1.295,0.4858,79.301,203.155,0,0
P0645,49.969,120.822,1.289,37.007,1.276,0.4961,74.569,201.313,0,0
P0646,49.972,119.931,1.376,33.089,2.051,0.5004,72.404,213.285,0,0
P0647,50.205,121.093,1.148,35.326,1.695,0.522,75.871,205.55,0,0
P0648,50.274,118.696,1.209,35.34,1.809,0.4948,77.457,214.399,0,0
P0649,50.034,120.052,0.91,31.807,1.939,0.5124,74.267,211.169,0,0
P0650,50.038,122.175,1.181,31.502,1.81,0.5673,70.093,216.213,0,0
P0651,49.651,118.102,2.227,30.666,3.44,0.6849,53.588,149.122,1,3
P0652,50.683,126.1,3.024,31.872,1.495,0.5752,65.415,183.697,1,2
P0653,50.08,120.891,1.326,33.339,1.551,0.516,76.017,207.17,0,0
P0654,49.389,120.332,2.332,40.385,2.068,0.4496,61.339,199.47,1,2
P0655,49.625,119.024,1.347,29.85,1.353,0.5488,76.431,204.122,0,0
P0656,50.182,120.94,1.32,29.926,0.845,0.4941,80.697,204.845,0,0
P0657,50.392,117.33,2.592,43.757,2.636,0.6318,66.029,204.081,1,2
P0658,50.071,120.371,1.351,34.391,1.885,0.5171,82.239,197.973,0,0
P0659,49.919,117.997,2.3,56.062,4.202,0.4999,70.566,185.73,1,4
P0660,49.936,124.532,1.616,38.114,1.758,0.661,61.923,179.725,1,1
P0661,50.01,120.871,1.644,47.986,3.26,0.5567,62.802,191.372,1,4
P0662,50.145,117.116,1.18,37.11,1.949,0.4969,75.772,195.71,0,0
P0663,49.942,120.554,0.715,31.677,1.617,0.5061,81.103,196.973,0,0
P0664,49.883,122.394,1.299,35.23,0.941,0.5311,77.412,196.799,0,0
P0665,49.991,117.37,1.627,35.624,1.595,0.5073,78.104,198.083,0,0
P0666,51.978,107.549,1.24,34.765,3.101,0.6605,61.216,199.53,1,1
P0667,49.657,119.874,1.428,44.551,3.399,0.6949,44.886,161.5,1,3
P0668,49.782,119.945,1.093,32.459,1.387,0.5247,73.529,214.012,0,0
P0669,49.793,119.532,1.195,31.863,1.053,0.5518,75.313,209.798,0,0
P0670,49.869,124.156,1.947,37.402,4.279,0.3794,67.224,162.494,1,3
P0671,48.857,117.86,3.222,39.125,4.014,0.8103,61.641,203.895,1,2
P0672,50.349,123.385,2.074,34.251,1.305,0.6647,54.488,181.594,1,3
P0673,50.006,113.335,2.165,43.122,3.135,0.7789,57.695,200.454,1,2
P0674,49.864,120.259,1.123,34.473,1.738,0.5357,74.239,197.061,0,0
P0675,49.853,119.5,2.093,49.478,2.511,0.6223,61.573,174.95,1,2
P0676,49.769,122.405,-2.983,34.621,1.638,0.5114,74.069,201.15,0,0
P0677,49.924,129.896,1.784,31.336,1.844,0.6923,59.07,178.051,1,3
P0678,50.675,121.646,2.201,NaN,2.058,0.4855,69.609,176.913,1,1
